conflict_id;location;side_a;side_a_id;side_a_2nd;side_b;side_b_id;side_b_2nd;incompatibility;territory_name;year;intensity_level;cumulative_intensity;type_of_conflict;start_date;start_prec;start_date2;start_prec2;ep_end;ep_end_date;ep_end_prec;gwno_a;gwno_a_2nd;gwno_b;gwno_b_2nd;gwno_loc;region;version
11347;Mali;Government of Mali;72;Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Djibouti, Government of DR Congo (Zaire), Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen);Ansar Dine, AQIM;1157, 539;;2;;2015;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;371, 305, 771, 211, 434, 760, 346, 439, 516, 811, 471, 483, 710, 316, 390, 522, 490, 651, 92, 366, 375, 220, 420, 260, 452, 438, 404, 850, 325, 437, 663, 501, 367, 450, 580, 435, 790, 210, 436, 475, 385, 235, 360, 517, 433, 451, 380, 225, 461, 616, 640, 200, 2, 678;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Congo, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen);Ansar Dine, AQIM;1157, 539;;2;;2016;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;371, 305, 771, 211, 434, 760, 439, 516, 811, 471, 483, 710, 484, 316, 390, 651, 92, 366, 530, 375, 220, 420, 260, 452, 438, 404, 310, 850, 325, 437, 663, 501, 450, 368, 580, 435, 790, 210, 436, 475, 385, 235, 360, 433, 451, 380, 225, 461, 616, 640, 200, 2, 678;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen);AQIM, JNIM;539, 6716;;2;;2017;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;371, 305, 771, 211, 434, 760, 346, 439, 516, 811, 471, 483, 710, 316, 390, 651, 92, 366, 530, 375, 220, 420, 260, 452, 438, 404, 310, 850, 325, 437, 663, 501, 367, 450, 368, 435, 790, 210, 436, 475, 385, 235, 360, 433, 451, 780, 380, 225, 461, 616, 200, 2, 678;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of New Zealand, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America;JNIM;6716;;2;;2018;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;371, 305, 771, 211, 434, 760, 346, 439, 516, 811, 471, 20, 483, 710, 316, 390, 651, 92, 366, 530, 375, 220, 420, 260, 452, 90, 438, 310, 850, 325, 437, 663, 501, 367, 450, 368, 580, 435, 70, 790, 210, 920, 436, 475, 385, 770, 235, 360, 433, 451, 230, 780, 380, 225, 461, 616, 640, 200, 2;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America;JNIM;6716;;2;;2019;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;371, 305, 771, 211, 434, 760, 346, 439, 516, 811, 471, 20, 483, 710, 316, 390, 651, 92, 366, 530, 375, 220, 420, 260, 452, 90, 438, 850, 205, 325, 437, 663, 501, 367, 450, 368, 580, 435, 70, 790, 210, 436, 475, 385, 770, 235, 360, 433, 451, 230, 780, 380, 225, 461, 616, 640, 369, 200, 2;;;432;4;21/01/2022
11347;Mali;Government of Mali;72;Government of Armenia, Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Zambia;JNIM;6716;;2;;2020;1;1;4;10/06/2009;1;24/01/2012;1;0;;;432;371, 900, 305, 771, 211, 434, 760, 346, 439, 516, 811, 471, 20, 483, 710, 316, 390, 651, 92, 366, 530, 375, 220, 420, 260, 452, 90, 438, 850, 630, 205, 325, 437, 663, 501, 367, 450, 368, 580, 435, 70, 790, 210, 436, 475, 385, 770, 235, 360, 433, 451, 230, 780, 380, 225, 461, 616, 369, 200, 2, 551;;;432;4;21/01/2022
11348;South Sudan, Sudan;Government of South Sudan;113;;Government of Sudan;112;;1;Common border;2012;1;0;2;27/03/2012;1;27/03/2012;1;1;26/12/2012;;626;;625;;625, 626;4;21/01/2022
11349;China;Government of China;135;;ETIM;1156;;1;East Turkestan;2008;1;0;3;05/04/1990;1;10/08/2008;1;1;29/08/2008;;710;;;;710;3;21/01/2022
11350;Bangladesh;Government of Bangladesh;143;;PBCP, PBCP-J;805, 1165;;2;;2005;1;0;3;24/04/1994;1;08/02/2005;1;0;;;771;;;;771;3;21/01/2022
11350;Bangladesh;Government of Bangladesh;143;;PBCP-J;1165;;2;;2006;1;0;3;24/04/1994;1;08/02/2005;1;1;22/12/2006;;771;;;;771;3;21/01/2022
11447;Ethiopia;Government of Ethiopia;97;;IGLF;1115;;1;Hararghe;1991;1;0;3;10/10/1991;2;10/10/1991;2;1;10/10/1991;;530;;;;530;4;21/01/2022
11475;Myanmar (Burma);Government of Myanmar (Burma);144;;NSCN-K;224;;1;Nagaland;1991;1;0;3;31/12/1991;3;31/12/1991;3;1;31/12/1991;;775;;;;775;3;21/01/2022
11475;Myanmar (Burma);Government of Myanmar (Burma);144;;NSCN-K;224;;1;Nagaland;1995;1;0;3;31/12/1991;3;17/04/1995;3;1;03/05/1995;;775;;;;775;3;21/01/2022
11475;Myanmar (Burma);Government of Myanmar (Burma);144;;NSCN-K;224;;1;Nagaland;2000;1;0;3;31/12/1991;3;28/02/2000;3;0;;;775;;;;775;3;21/01/2022
11475;Myanmar (Burma);Government of Myanmar (Burma);144;;NSCN-K;224;;1;Nagaland;2001;1;0;3;31/12/1991;3;28/02/2000;3;1;18/05/2001;;775;;;;775;3;21/01/2022
11475;Myanmar (Burma);Government of Myanmar (Burma);144;;NSCN-K;224;;1;Nagaland;2005;1;0;3;31/12/1991;3;31/01/2005;3;0;;;775;;;;775;3;21/01/2022
11475;Myanmar (Burma);Government of Myanmar (Burma);144;;NSCN-K;224;;1;Nagaland;2006;1;0;3;31/12/1991;3;31/01/2005;3;0;;;775;;;;775;3;21/01/2022
11475;Myanmar (Burma);Government of Myanmar (Burma);144;;NSCN-K;224;;1;Nagaland;2007;1;0;3;31/12/1991;3;31/01/2005;3;1;15/02/2007;;775;;;;775;3;21/01/2022
11487;Malaysia;Government of Malaysia;152;;Sultanate of Sulu;4006;;1;Sabah;2013;1;0;3;01/03/2013;1;02/03/2013;1;1;24/04/2013;;820;;;;820;3;21/01/2022
11884;Hyderabad;Government of Hyderabad;2;;CPI;178;;2;;1947;2;1;3;30/06/1947;4;30/06/1947;4;0;;;751;;;;751;3;21/01/2022
11884;Hyderabad;Government of Hyderabad;2;;CPI;178;;2;;1948;2;1;3;30/06/1947;4;30/06/1947;4;1;18/09/1948;;751;;;;751;3;21/01/2022
13042;Syria;Government of Syria;118;;PYD;4163;;1;Rojava Kurdistan;2012;1;0;3;10/09/2011;2;07/09/2012;1;0;;;652;;;;652;2;21/01/2022
13042;Syria;Government of Syria;118;;PYD;4163;;1;Rojava Kurdistan;2013;1;0;3;10/09/2011;2;07/09/2012;1;0;;;652;;;;652;2;21/01/2022
13042;Syria;Government of Syria;118;;PYD;4163;;1;Rojava Kurdistan;2014;1;0;3;10/09/2011;2;07/09/2012;1;0;;;652;;;;652;2;21/01/2022
13042;Syria;Government of Syria;118;;PYD;4163;;1;Rojava Kurdistan;2015;1;0;3;10/09/2011;2;07/09/2012;1;1;25/07/2015;;652;;;;652;2;21/01/2022
13219;Ukraine;Government of Ukraine;61;;Maidan;5817;;2;;2014;1;0;3;22/01/2014;1;18/02/2014;1;1;21/02/2014;;369;;;;369;1;21/01/2022
13246;Ukraine;Government of Ukraine;61;;DPR;5840;Government of Russia (Soviet Union);1;Donetsk;2014;2;1;4;12/04/2014;1;02/05/2014;1;1;16/09/2014;;369;;;365;369;1;21/01/2022
13247;Ukraine;Government of Ukraine;61;;LPR;5839;Government of Russia (Soviet Union);1;Lugansk;2014;1;0;4;04/05/2014;1;14/06/2014;1;1;26/08/2014;;369;;;365;369;1;21/01/2022
13306;Ukraine;Government of Ukraine;61;;United Armed Forces of Novorossiya;5914;Government of Russia (Soviet Union);1;Novorossiya;2014;2;1;4;17/09/2014;1;25/09/2014;3;0;;;369;;;365;369;1;21/01/2022
13306;Ukraine;Government of Ukraine;61;;DPR, LPR, United Armed Forces of Novorossiya;6711, 6712, 5914;Government of Russia (Soviet Union);1;Novorossiya;2015;2;1;4;17/09/2014;1;25/09/2014;3;0;;;369;;;365;369;1;21/01/2022
13306;Ukraine;Government of Ukraine;61;;DPR, LPR;6711, 6712;Government of Russia (Soviet Union);1;Novorossiya;2016;1;1;4;17/09/2014;1;25/09/2014;3;0;;;369;;;365;369;1;21/01/2022
13306;Ukraine;Government of Ukraine;61;;DPR, LPR;6711, 6712;Government of Russia (Soviet Union);1;Novorossiya;2017;1;1;4;17/09/2014;1;25/09/2014;3;0;;;369;;;365;369;1;21/01/2022
13306;Ukraine;Government of Ukraine;61;;DPR, LPR;6711, 6712;Government of Russia (Soviet Union);1;Novorossiya;2018;1;1;4;17/09/2014;1;25/09/2014;3;0;;;369;;;365;369;1;21/01/2022
13306;Ukraine;Government of Ukraine;61;;DPR, LPR;6711, 6712;Government of Russia (Soviet Union);1;Novorossiya;2019;1;1;4;17/09/2014;1;25/09/2014;3;0;;;369;;;365;369;1;21/01/2022
13306;Ukraine;Government of Ukraine;61;;DPR, LPR;6711, 6712;Government of Russia (Soviet Union);1;Novorossiya;2020;1;1;4;17/09/2014;1;25/09/2014;3;0;;;369;;;365;369;1;21/01/2022
13588;Russia (Soviet Union);Government of Russia (Soviet Union);57;;IS;234;;1;Islamic State;2015;1;0;3;21/03/2015;1;01/08/2015;2;0;;;365;;;;365;1;21/01/2022
13588;Russia (Soviet Union);Government of Russia (Soviet Union);57;;IS;234;;1;Islamic State;2016;1;0;3;21/03/2015;1;01/08/2015;2;0;;;365;;;;365;1;21/01/2022
13588;Russia (Soviet Union);Government of Russia (Soviet Union);57;;IS;234;;1;Islamic State;2017;1;0;3;21/03/2015;1;01/08/2015;2;0;;;365;;;;365;1;21/01/2022
13588;Russia (Soviet Union);Government of Russia (Soviet Union);57;;IS;234;;1;Islamic State;2018;1;0;3;21/03/2015;1;01/08/2015;2;0;;;365;;;;365;1;21/01/2022
13588;Russia (Soviet Union);Government of Russia (Soviet Union);57;;IS;234;;1;Islamic State;2019;1;0;3;21/03/2015;1;01/08/2015;2;0;;;365;;;;365;1;21/01/2022
13588;Russia (Soviet Union);Government of Russia (Soviet Union);57;;IS;234;;1;Islamic State;2020;1;0;3;21/03/2015;1;01/08/2015;2;0;;;365;;;;365;1;21/01/2022
13604;Syria;Government of Syria;118;;IS;234;;1;Islamic State;2013;2;1;3;26/03/2013;1;25/07/2013;1;0;;;652;;;;652;2;21/01/2022
13604;Syria;Government of Syria;118;;IS;234;;1;Islamic State;2014;2;1;3;26/03/2013;1;25/07/2013;1;0;;;652;;;;652;2;21/01/2022
13604;Syria;Government of Syria;118;Government of Iran, Government of Russia (Soviet Union);IS;234;;1;Islamic State;2015;2;1;4;26/03/2013;1;25/07/2013;1;0;;;652;630, 365;;;652;2;21/01/2022
13604;Syria;Government of Syria;118;Government of Iran, Government of Russia (Soviet Union);IS;234;;1;Islamic State;2016;2;1;4;26/03/2013;1;25/07/2013;1;0;;;652;630, 365;;;652;2;21/01/2022
13604;Syria;Government of Syria;118;Government of Iran, Government of Russia (Soviet Union);IS;234;;1;Islamic State;2017;2;1;4;26/03/2013;1;25/07/2013;1;0;;;652;630, 365;;;652;2;21/01/2022
13604;Syria;Government of Syria;118;Government of Iran, Government of Russia (Soviet Union);IS;234;;1;Islamic State;2018;2;1;4;26/03/2013;1;25/07/2013;1;0;;;652;630, 365;;;652;2;21/01/2022
13604;Syria;Government of Syria;118;Government of Iran, Government of Russia (Soviet Union);IS;234;;1;Islamic State;2019;1;1;4;26/03/2013;1;25/07/2013;1;0;;;652;630, 365;;;652;2;21/01/2022
13604;Syria;Government of Syria;118;Government of Iran, Government of Russia (Soviet Union);IS;234;;1;Islamic State;2020;2;1;4;26/03/2013;1;25/07/2013;1;0;;;652;630, 365;;;652;2;21/01/2022
13611;Mali;Government of Mali;72;;FLM;6267;;1;Macina Empire;2015;1;0;3;05/01/2015;1;27/06/2015;1;1;28/10/2015;;432;;;;432;4;21/01/2022
13637;Afghanistan;Government of Afghanistan;130;Government of Pakistan, Government of United States of America;IS;234;;1;Islamic State;2015;1;0;4;09/02/2015;1;03/03/2015;1;0;;;700;770, 2;;;700;3;21/01/2022
13637;Afghanistan;Government of Afghanistan;130;Government of Pakistan, Government of United States of America;IS;234;;1;Islamic State;2016;2;1;4;09/02/2015;1;03/03/2015;1;0;;;700;770, 2;;;700;3;21/01/2022
13637;Afghanistan;Government of Afghanistan;130;Government of United States of America;IS;234;;1;Islamic State;2017;2;1;4;09/02/2015;1;03/03/2015;1;0;;;700;2;;;700;3;21/01/2022
13637;Afghanistan;Government of Afghanistan;130;Government of United States of America;IS;234;;1;Islamic State;2018;2;1;4;09/02/2015;1;03/03/2015;1;0;;;700;2;;;700;3;21/01/2022
13637;Afghanistan;Government of Afghanistan;130;Government of United States of America;IS;234;;1;Islamic State;2019;2;1;4;09/02/2015;1;03/03/2015;1;0;;;700;2;;;700;3;21/01/2022
13637;Afghanistan;Government of Afghanistan;130;Government of United States of America;IS;234;;1;Islamic State;2020;1;1;4;09/02/2015;1;03/03/2015;1;0;;;700;2;;;700;3;21/01/2022
13638;Cameroon;Government of Cameroon;83;Government of Chad;IS;234;;1;Islamic State;2015;1;0;4;19/03/2015;1;11/08/2015;1;0;;;471;483;;;471;4;21/01/2022
13638;Cameroon;Government of Cameroon;83;;IS;234;;1;Islamic State;2016;1;0;3;19/03/2015;1;11/08/2015;1;1;06/10/2016;;471;;;;471;4;21/01/2022
13638;Cameroon;Government of Cameroon;83;Government of Chad;IS;234;;1;Islamic State;2019;1;0;4;19/03/2015;1;27/04/2019;1;1;17/09/2019;;471;483;;;471;4;21/01/2022
13639;Niger;Government of Niger;75;Government of Chad;IS;234;;1;Islamic State;2015;1;0;4;26/03/2015;1;30/03/2015;1;0;;;436;483;;;436;4;21/01/2022
13639;Niger;Government of Niger;75;Government of Chad, Government of Nigeria;IS;234;;1;Islamic State;2016;1;0;4;26/03/2015;1;30/03/2015;1;0;;;436;483, 475;;;436;4;21/01/2022
13639;Niger;Government of Niger;75;Government of Chad, Government of France, Government of United States of America;IS;234;;1;Islamic State;2017;1;0;4;26/03/2015;1;30/03/2015;1;0;;;436;483, 220, 2;;;436;4;21/01/2022
13639;Niger;Government of Niger;75;Government of France, Government of United States of America;IS;234;;1;Islamic State;2018;1;0;4;26/03/2015;1;30/03/2015;1;0;;;436;220, 2;;;436;4;21/01/2022
13639;Niger;Government of Niger;75;Government of Chad, Government of France, Government of United States of America;IS;234;;1;Islamic State;2019;1;1;4;26/03/2015;1;30/03/2015;1;0;;;436;483, 220, 2;;;436;4;21/01/2022
13639;Niger;Government of Niger;75;Government of Chad, Government of France, Government of United States of America;IS;234;;1;Islamic State;2020;1;1;4;26/03/2015;1;30/03/2015;1;0;;;436;483, 220, 2;;;436;4;21/01/2022
13640;Chad;Government of Chad;87;;IS;234;;1;Islamic State;2015;1;0;3;27/05/2015;1;27/05/2015;1;1;01/11/2015;;483;;;;483;4;21/01/2022
13640;Chad;Government of Chad;87;;IS;234;;1;Islamic State;2017;1;0;3;27/05/2015;1;05/05/2017;1;0;;;483;;;;483;4;21/01/2022
